en;nl;fr;de;sv;pl;No;es
Default purchase discount percentage;Standaard inkoopkorting percentage;Pourcentage de remise sur achat par défaut;Prozentsatz des Standard-Einkaufrabatts;Rabattprocent för standardköp;Domyślny procent rabatu przy zakupie;Standard rabattprosent for kjøp;Porcentaje de descuento de compra predeterminado
Used to calculate cost price.;Gebruikt om kostprijs te berekenen;Utilisé pour calculer le prix de revient.;Verwendet zur Berechnung des Selbstkostenpreises;Används för att beräkna kostnadspriset.;Służy do obliczenia kosztów własnych;Brukes til å beregne kostpris.;Se utiliza para calcular el precio de costo.
Customer reference;Klantreferentie;Référence client;Kundenreferenz;Kundreferens;Preferencja klienta;Referanse for kunder;Referencia de cliente
Margin percentage;Marge percentage;Pourcentage de marge;Prozentspielraum;Marginalprocent;Procent marży;Margin prosent;porcentaje de margen
Default VAT;Standaard BTW-tarief;TVA par défaut;Mehrwertsteuer-Standardsatz;Standardmoms;Domyślny podatek VAT;Standard MVA;IVA predeterminado
Select a VAT that is added to every price by default.;Selecteer een standaard BTW-tarief dat bij alle prijzen gebruikt wordt.;Sélectionnez une TVA qui sera ajoutée par défaut à chaque prix.;Wählen Sie einen Mehrwertsteuer-Standardsatz, der für alle Preise verwendet wird.;Välj en moms som ska läggas till varje pris som standard.;Wybierz podatek VAT, który jest domyślnie dodawany do każdej ceny.;Velg en MVA som legges til hver pris som standard.;Seleccione un IVA que se agrega a cada precio por defecto.
Select VAT;Selecteer BTW-tarief;Sélectionner la TVA;selektiere / wähle Mehrwertsteuer-Standardsatz;Välj moms;Wybierz VAT;Velg MVA;Seleccionar IVA
None;Geen;Aucune;Nichts;Inget;Nic;Ingen;Ninguno
Wholesale discount;Staffelkorting;Remise de gros;Gruppenrabatt;Grosshandel rabatt;Rabat hurtowy;Engrosrabatt;Descuento al por mayor
Give sub-organizations a discount based on the order value.;Geef suborganisaties een korting op basis van de orderwaarde.;Accordez aux sous-organisations une remise basée sur la valeur de la commande.;Geben Sie Unterorganisationen einen Rabatt auf der Basis des Auftragswertes.;Ge en rabatt till suborganisationer baserat på beställningsvärdet.;Daj organizacjom podrzędnym rabat na podstawie wartości zamówienia.;Gi underorganisasjoner en rabatt basert på bestillingsverdien.;Otorgue a las suborganizaciones un descuento basado en el valor del pedido.
From amount;Van bedrag;A partir du montant;Von dem Betrag;Från belopp/antal;Od kwoty;Fra beløp;De la cantidad
Default percentage to increase all prices.;Standaardpercentage om alle prijzen te verhogen.;Pourcentage par défaut pour augmenter tous les prix.;Standardmäßiger Prozentsatz zum erhöhen aller Preise;En standardprocent för att höja alla priser.;Domyślna wartość procentowa w celu zwiększenia wszystkich cen.;Standardprosent for å øke alle priser.;Porcentaje predeterminado para aumentar todos los precios.
The order is as follows: (1) Feature margin - (2) Configuration model margin - (3) Default margin percentage.;De volgorde is als volgt: (1) Featuremarge - (2) Configuratiemodelmarge - (3) Standaardmargepercentage.;L'ordre est le suivant : (1) Marge de la caractéristique - (2) Marge du modèle de configuration - (3) Pourcentage de la marge par défaut.;Die Reihenfolge ist wie folgt: (1) Funktionsspielraum - (2) Konfigurationsmodellspielraum - (3) standardmäßige Spielraumprozentsatz;Följande ordning gäller: (1) Funktionsmarginal - (2) Konfigurationsmodellmarginal - (3) Standardmarginalprocent.;Kolejność jest następująca: (1) Cechy marży - (2) Model konfiguracji marży - (3) Domyślny procent marży.;Rekkefølgen er som følger: (1) Funksjonsmargin - (2) Konfigurasjonsmodellmargin - (3) Standard marginprosent.;El orden es el siguiente: (1) Margen de características - (2) Margen del modelo de configuración - (3) Porcentaje de margen predeterminado.
If either the feature margin, and/or the configuration model margin are applied, then the default margin percentage is not applied.;Als ofwel de feature marge en / of de configuratiemodelmarge worden toegepast, wordt het standaardmargepercentage niet toegepast.;Si la marge de la caractéristique et/ou la marge du modèle de configuration sont appliquées, le pourcentage de marge par défaut n'est pas appliqué.;Wenn entweder der Funktionsspielraum und/oder der Konfigurationsmodellspielraum angewendet werden, wird der standardmäßige Spielraumprozentsatz nicht angewendet.;Om funktionsmarginalen och/eller konfigurationsmodellmarginalen tillämpas, då kommer standardmarginalen inte att tillämpas.;Jeśli zostanie zastosowany cecha marży i/lub model konfiguracji marży, domyślna wartość procentowa marży nie zostanie zastosowana.;Hvis funksjonsmarginen og/eller marginen i konfigurasjonsmodellen brukes, brukes ikke standardmarginen.;Si se aplica el margen de características y/o el margen del modelo de configuración, no se aplica el porcentaje de margen predeterminado.
Add;Toevoegen;Ajouter;Hinzufügen;Tillägg;Dodaj;Legg til;Agregar
Enable this to display prices including VAT in order entry and the showroom.;Schakel dit in om prijzen inclusief btw weer te geven bij orderinvoer en de showroom.;Activez cette option pour afficher les prix incluant la TVA dans la saisie des commandes et dans le showroom.;Aktivieren Sie diese Option, um bei der Auftragserfassung und im Showroom Preise einschließlich Mehrwertsteuer anzuzeigen.;Slå på den här funktionen för att visa priser inkl. moms i orderingången och i showroomet.;Włącz tę opcję, aby wyświetlić ceny zawierające podatek VAT przy wprowadzaniu zamówień i showroom.;Aktiver dette for ?ise priser inkludert moms i ordreregistrering og showroom.;Habilite esto para mostrar los precios, incluido el IVA, en la entrada de pedidos y en la sala de exposición.
Database;Database;Base de données;Datenbank;Database;Baza danych;Database;Base de datos
Table Presets;Tabelvoorinstellingen;Table Presets;Tabellenvoreinstellungen;Tabellinställningar;Ustawienia wstępne tabel;Forhændsinnstillinger for tabell;Preajustes de mesa
Manage Prices;Beheer prijzen;Gérer les prix;Preise verwalten;Hantera priser;Zarządzaj cenami;Administre priser;Administrar Precios
Step Editor;Stap Editor;Éditeur d'étapes;Schritt Editor;Step Editor;Edytor kroków;Rediger steg;Editor de pasos
Quotations;Offertes;Devis;Angebote;Offerter;Oferty;Tilbud;cotizaciones
Templates;Templates;Modèles;Vorlagen;Mallar;Szablony;Maler;Plantillas
Properties;Eigenschappen;Propriétés;Eigenschaften;Egenskaper;Właściwości;Egenskaper;Propiedades
CRM Accounts;CRM Accounts;Comptes CRM;CRM-Kontos;CRM-konton;Konta CRM;CRM-kontoer;Cuentas CRM
Integrations;Integraties;Intégrations;Integrationen;Integrationer;Integracje;Integrasjoner;integraciones
Users;Gebruikers;Utilisateurs;Nutzer;Användare;Użytkownicy;Brukere;Usuarios
Sub-organizations;Suborganisaties;Sous-organisations;Unterorganisationen;Suborganisationer;Spółki zależne;Underorganisasjoner;Suborganizaciones
Localization;Lokalisatie;Localisation;Lokalisierung;Lokalisering;Lokalizacja;Lokalisering;Localización
Countries;Landen;Pays;Länder;Länder;Kraje;Land;Países
Currencies;Valuta's;Devises;Währungen;Valutor;Waluty;Valutaer;Monedas
Languages;Talen;Langues;Sprachen;Språk;Języki;Spræk;Idiomas
Translations;Vertalingen;Traductions;Übersetzungen;Översättningar;Tłumaczenia;Oversettelser;Traducciones
Settings;Instellingen;Paramètres;Einstellungen;Inställningar;Ustawienia;Innstillinger;Ajustes
Configure;Configureren;Configurer;Konfigurieren;Konfigurera;Konfiguruj;Konfigurere;Configurar
Create quotation;Offerte aanmaken;Créer un devis;Angebot ertsellen;Skapa offert;Stwórz ofertę;Opprett tilbud;Crear cotización
Account settings;Account instellingen;Paramètres du compte;Konto-Einstellungen;Kontoinställningar;Ustawienia konta;Kontoinnstillinger;Configuraciones de la cuenta
Open changelog;Changelog openen;Ouvrir le journal des modifications;Änderungsprotokoll öffnen;Öppna changelog;Otwórz rejestr zmian;åpne endringslogg;Abrir registro de cambios
Logout;Uitloggen;Déconnexion;Ausloggen;Logga ut;Wyloguj;Logout;Cerrar sesión
Most configured products;Meest geconfigureerde producten;Produits les plus configurés;Die meist konfigurierten Produkte;Vanligaste konfigurerade produkter;Najczęściej konfigurowane produkty;Mest konfigurerte produkter;Productos más configurados
Quotations created weekly;Wekelijks gemaakte offertes;Cotations créées chaque semaine;Wöchentlich erstellte Angebote;Offerter som skapades veckovis;Oferty stworzone w tygodniu;Tilbud som opprettes ukentlig;Cotizaciones creadas semanalmente
News and updates;Nieuws en updates;Nouvelles et mises à jour;Neuigkeiten und Updates;Aktuella nyheter och uppdateringar;Nowości i aktualizacje;Nyheter og oppdateringer;Noticias y actualizaciones
Add item;Item toevoegen;Ajouter un article;Artikel hinzufügen;Lägg till objekt;Dodaj element;Legg til element;Añadir artículo
Enter configuration code;Voer configuratie code in;Entrez le code de configuration;Konfigurationscode eingeben;Ange konfigurationskod;Wprowadź kod konfiguracyjny;Angi konfigurasjonskode;Introduzca el código de configuración
Next;Volgende;Suivant;weiter;Nästa;Dalej;Neste;Próximo
Previous;Vorige;Précédent;zurück;Föregående;Wstecz;Forrige;Anterior
Description;Omschrijving;Description;Beschreibung;Beskrivning;Opis;Beskrivelse;Descripción
Customer Reference;Klantreferentie;Référence client;Kundenreferenz;Kundreferens;Referencje klienta;Referanse for kunder;Referencia de cliente
QTY;Hoeveelheid;QTÉ;Menge;ANTAL;Ilość;ANT.;CANTIDAD
Total Price;Totaalprijs;Prix total;Gesamtpreis;Totalt pris;Cena całkowita;Totalpris;Precio total
Prices do not include VAT;Prijzen zijn exclusief BTW;Les prix ne comprennent pas la TVA;Preise excl. MwSt;Priserna inkluderar inte moms;Ceny nie zawierają podatku VAT;Prisene inkluderer ikke mva.;Precios no incluyen IVA
Create new quotation;Nieuwe offerte maken;Créer un nouveau devis;Neues Angebot erstellen;Skapa en ny offert;Stwórz nową ofertę;Opprett nytt tilbud;Crear nueva cotización
Add new configuration;Nieuwe configuratie toevoegen;Ajouter une nouvelle configuration;Neue Konfiguration hinzufügen;Lägg till en ny konfiguration;Dodaj nową konfigurację;Legg til ny konfigurasjon;Agregar nueva configuración
Base Price;Basisprijs;Prix de base;Standardpreis;Grundpris;Cena podstawowa;Grunnpris;Precio base
Additional Price;Additionele prijs;Prix supplémentaire;Mehrpreis;Tilläggspris;Dodatkowa cena;Tilleggspris;Precio adicional
Prices include VAT;Prijzen zijn inclusief BTW;Les prix incluent la TVA;Preise incl. MwSt;Priserna inkluderar moms;Ceny zawierają VAT;Prisene inkluderer merverdiavgift;Los precios incluyen IVA
Add to quotation;Voeg toe aan offerte;Ajouter au devis;An das Angebot zufügen;Lägg till i offert;Dodaj do oferty;Legg til i tilbud;Agregar a la cotización
Switch configuration;Wijzig configuratie;Configuration du commutateur;Konfiguration ändern;Konfigurering av växlar;Zmień konfigurację;Bytt konfigurasjon;Configuración del interruptor
Download import template;Import template downloaden;Télécharger le modèle d'importation;Importvorlage herunterladen;Ladda ner importmall;Pobierz szablon importu;Last ned importmal;Descargar plantilla de importación
Import features;Features importeren;Importer des fonctionnalités;Funktionen importieren;Funktioner för import;Importowanie wyposażenia;Importer funksjoner;Importar características
Export selected features;Geselecteerde features exporteren;Exporter les fonctionnalités sélectionnées;Ausgewählte funktionen exportieren;Exportera utvalda funktioner;Eksportowanie wybranych obiektów;Eksportere valgte funksjoner;Exportar características seleccionadas
feature(s) selected;feature(s) geselecteerd;Fonctionnalité(s) sélectionnée(s);Funktion(en) ausgewählt;vald(a) funktion(er);Wybrany/e obiekt/y;Funksjon(er) valgt;características seleccionadas
Delete selected features;Verwijder geselecteerde features;Supprimer les caractéristiques sélectionnées;Entferne ausgewählte Funktionen;Ta bort valda funktioner;Usuń wybrane obiekty;Slette valgte funksjoner;Eliminar funciones seleccionadas
Duplicate selected features;Dupliceer geselecteerde features;Dupliquer les caractéristiques sélectionnées;Dupliziere ausgewählte Funktionen;Duplicera utvalda funktioner;Duplikuj wybrane obiekty;Duplisere valgte funksjoner;Duplicar entidades seleccionadas
Add property;Eigenschap toevoegen;Ajouter une propriété;Eigenschaft hinzufügen;Lägg till egenskap;Dodaj obiekt;Legg til egenskap;Agregar propiedad
There are no categories.;Er zijn geen categorieën.;Il n'y a pas de catégories.;Keine Kategorien vorhanden;Det finns inga kategorier.;Nie ma kategorii;Det finnes ingen kategorier.;No hay categorías.
Values;Waarden;Valeurs;Werte;Värden;Wartości;Verdier;Valores
